page_id,document_name,page_number,source_group,record_type,case_id,duplicate_cluster_id,text_availability,ocr_difficulty,visual_quality,is_low_information_page,hard_negative_trap_type
v2_case_007_same_dx_diff_record_12,email_duplicate_attachments_002.pdf,4,email_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_13,received_records_002.pdf,12,received_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_14,ere_batch_002.pdf,10,ere_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_007_same_dx_diff_record_15,email_duplicate_attachments_002.pdf,5,email_records,visit_note,case_007,,native_text,none,clean,False,same_diagnosis_different_record
v2_case_008_med_trap_visit_01,received_records_002.pdf,13,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_02,received_records_followups_003.pdf,1,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_03,ere_batch_002.pdf,11,ere_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_04,email_duplicate_attachments_002.pdf,6,email_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_05,received_records_002.pdf,14,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_06,received_records_followups_003.pdf,2,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_07,ere_batch_002.pdf,12,ere_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_08,email_duplicate_attachments_002.pdf,7,email_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_09,received_records_002.pdf,15,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_10,received_records_followups_003.pdf,3,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_11,ere_batch_002.pdf,13,ere_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_12,email_duplicate_attachments_002.pdf,8,email_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_13,received_records_002.pdf,16,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_14,received_records_followups_003.pdf,4,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_15,ere_batch_002.pdf,14,ere_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_16,email_duplicate_attachments_002.pdf,9,email_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_17,received_records_002.pdf,17,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_008_med_trap_visit_18,received_records_followups_003.pdf,5,received_records,visit_note,case_008,,native_text,none,clean,False,same_medication_list_different_context
v2_case_009_fax_cover_01,fax_records_001.pdf,2,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_02,fax_records_001.pdf,3,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_03,fax_records_001.pdf,4,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_04,fax_records_001.pdf,5,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_05,fax_records_001.pdf,6,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_06,fax_records_001.pdf,7,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_07,fax_records_001.pdf,8,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_08,fax_records_001.pdf,9,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_09,fax_records_002.pdf,1,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_10,fax_records_002.pdf,2,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_11,fax_records_002.pdf,3,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_12,fax_records_002.pdf,4,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_13,fax_records_002.pdf,5,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_fax_cover_14,fax_records_002.pdf,6,fax_records,cover_sheet,case_009,,image_only,medium,fax_cover,True,same_cover_template_different_fax
v2_case_009_identical_cover_a,fax_records_002.pdf,7,fax_records,cover_sheet,case_009,cluster_009_lowinfo_identical_cover,image_only,medium,fax_cover,True,
v2_case_009_identical_cover_b,fax_records_002.pdf,8,fax_records,cover_sheet,case_009,cluster_009_lowinfo_identical_cover,image_only,medium,fax_cover,True,
v2_case_010_lab_layout_diff_values_01,received_records_followups_003.pdf,6,received_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_02,ere_batch_002.pdf,15,ere_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_03,email_duplicate_attachments_002.pdf,10,email_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_04,fax_records_001.pdf,10,fax_records,lab_result,case_010,,image_only,medium,fax_lab,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_05,received_records_followups_003.pdf,7,received_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_06,ere_batch_002.pdf,16,ere_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_07,email_duplicate_attachments_002.pdf,11,email_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_08,fax_records_001.pdf,11,fax_records,lab_result,case_010,,image_only,medium,fax_lab,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_09,received_records_followups_003.pdf,8,received_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_10,ere_batch_002.pdf,17,ere_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_11,email_duplicate_attachments_002.pdf,12,email_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_12,fax_records_001.pdf,12,fax_records,lab_result,case_010,,image_only,medium,fax_lab,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_13,received_records_followups_003.pdf,9,received_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_14,ere_batch_002.pdf,18,ere_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_15,email_duplicate_attachments_002.pdf,13,email_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_16,fax_records_001.pdf,13,fax_records,lab_result,case_010,,image_only,medium,fax_lab,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_17,received_records_followups_003.pdf,10,received_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_18,ere_batch_002.pdf,19,ere_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_19,email_duplicate_attachments_002.pdf,14,email_records,lab_result,case_010,,native_text,none,clean,False,same_lab_layout_different_values
v2_case_010_lab_layout_diff_values_20,fax_records_001.pdf,14,fax_records,lab_result,case_010,,image_only,medium,fax_lab,False,same_lab_layout_different_values
v2_case_011_imaging_template_diff_01,received_records_followups_003.pdf,11,received_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_02,ere_batch_002.pdf,20,ere_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_03,email_duplicate_attachments_002.pdf,15,email_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_04,fax_records_002.pdf,9,fax_records,imaging_report,case_011,,image_only,medium,fax_imaging,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_05,received_records_followups_003.pdf,12,received_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_06,ere_batch_002.pdf,21,ere_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_07,email_duplicate_attachments_002.pdf,16,email_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_08,fax_records_002.pdf,10,fax_records,imaging_report,case_011,,image_only,medium,fax_imaging,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_09,received_records_followups_003.pdf,13,received_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_10,ere_batch_002.pdf,22,ere_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_11,email_duplicate_attachments_002.pdf,17,email_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_12,fax_records_002.pdf,11,fax_records,imaging_report,case_011,,image_only,medium,fax_imaging,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_13,received_records_followups_003.pdf,14,received_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_14,ere_batch_002.pdf,23,ere_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_15,email_duplicate_attachments_002.pdf,18,email_records,imaging_report,case_011,,native_text,none,clean,False,same_imaging_template_different_findings
v2_case_011_imaging_template_diff_16,fax_records_002.pdf,12,fax_records,imaging_report,case_011,,image_only,medium,fax_imaging,False,same_imaging_template_different_findings
v2_case_012_med_list_only,received_records_001.pdf,6,received_records,medication_list,case_012,,native_text,none,clean,False,
v2_case_012_visit_summary_with_med_list,received_records_001.pdf,7,received_records,visit_note,case_012,,native_text,none,clean,False,
v2_case_013_prior_dx_summary,email_attachments_001.pdf,4,email_records,diagnosis_summary,case_013,,native_text,none,clean,False,
v2_case_013_discharge_repeats_dx,received_records_002.pdf,18,received_records,discharge_summary,case_013,,native_text,none,clean,False,
v2_case_013_lab_table_only,email_attachments_001.pdf,5,email_records,lab_result,case_013,,native_text,none,clean,False,
v2_case_013_visit_summary_with_lab_table,received_records_001.pdf,8,received_records,visit_summary,case_013,,native_text,none,clean,False,
v2_case_013_full_visit_note,received_records_002.pdf,19,received_records,visit_note,case_013,,native_text,none,clean,False,
v2_case_013_split_note_extract,ere_batch_001.pdf,2,ere_records,visit_note_extract,case_013,,native_text,none,clean,False,
v2_case_013_full_instruction_page,received_records_followups_003.pdf,15,received_records,patient_instruction_page,case_013,,native_text,none,clean,False,
v2_case_013_cropped_half_instruction,claimant_upload_camera_001.pdf,3,claimant_uploads,patient_instruction_page,case_013,,image_only,hard,cropped_half_camera_scan,False,
v2_case_014_received_packet_p001,received_records_002.pdf,20,received_records,cover_sheet,case_014,cluster_014_packet_page_01,native_text,none,clean,False,
v2_case_014_ere_embedded_packet_p001,ere_reordered_batch_003.pdf,1,ere_records,cover_sheet,case_014,cluster_014_packet_page_01,native_text,none,clean,False,
v2_case_014_received_packet_p002,received_records_002.pdf,21,received_records,visit_note,case_014,cluster_014_packet_page_02,native_text,none,clean,False,
v2_case_014_ere_embedded_packet_p002,ere_reordered_batch_003.pdf,2,ere_records,visit_note,case_014,cluster_014_packet_page_02,native_text,none,clean,False,
v2_case_014_received_packet_p003,received_records_002.pdf,22,received_records,lab_result,case_014,cluster_014_packet_page_03,native_text,none,clean,False,
v2_case_014_ere_embedded_packet_p003,ere_reordered_batch_003.pdf,3,ere_records,lab_result,case_014,cluster_014_packet_page_03,native_text,none,clean,False,
v2_case_014_received_packet_p004,received_records_002.pdf,23,received_records,imaging_report,case_014,cluster_014_packet_page_04,native_text,none,clean,False,
v2_case_014_ere_embedded_packet_p004,ere_reordered_batch_003.pdf,4,ere_records,imaging_report,case_014,cluster_014_packet_page_04,native_text,none,clean,False,
v2_case_014_received_packet_p005,received_records_002.pdf,24,received_records,patient_instruction_page,case_014,cluster_014_packet_page_05,native_text,none,clean,False,
v2_case_014_ere_embedded_packet_p005,ere_reordered_batch_003.pdf,5,ere_records,patient_instruction_page,case_014,cluster_014_packet_page_05,native_text,none,clean,False,
v2_case_014_ere_noise_01,ere_reordered_batch_003.pdf,6,ere_records,cover_sheet,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_02,ere_reordered_batch_003.pdf,7,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_03,ere_reordered_batch_003.pdf,8,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_04,ere_reordered_batch_003.pdf,9,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_05,ere_reordered_batch_003.pdf,10,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_06,ere_reordered_batch_003.pdf,11,ere_records,cover_sheet,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_07,ere_reordered_batch_003.pdf,12,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_08,ere_reordered_batch_003.pdf,13,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_09,ere_reordered_batch_003.pdf,14,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_10,ere_reordered_batch_003.pdf,15,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_11,ere_reordered_batch_003.pdf,16,ere_records,cover_sheet,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_12,ere_reordered_batch_003.pdf,17,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_13,ere_reordered_batch_003.pdf,18,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_14,ere_reordered_batch_003.pdf,19,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_014_ere_noise_15,ere_reordered_batch_003.pdf,20,ere_records,visit_note,case_014,,native_text,none,clean,False,batch_noise_same_source
v2_case_016_low_info_01,received_records_followups_003.pdf,16,received_records,blank_page,case_016,cluster_016_blank_pages,native_text,none,clean,True,
v2_case_016_low_info_02,ere_batch_001.pdf,3,ere_records,separator_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_03,fax_records_002.pdf,13,fax_records,signature_page,case_016,,image_only,medium,low_information_scan,True,
v2_case_016_low_info_04,claimant_upload_mixed_002.pdf,1,claimant_uploads,blank_page,case_016,cluster_016_blank_pages,image_only,medium,low_information_scan,True,
v2_case_016_low_info_05,email_duplicate_attachments_002.pdf,19,email_records,separator_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_06,received_records_followups_003.pdf,17,received_records,signature_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_07,ere_batch_001.pdf,4,ere_records,blank_page,case_016,cluster_016_blank_pages,native_text,none,clean,True,
v2_case_016_low_info_08,fax_records_002.pdf,14,fax_records,separator_page,case_016,,image_only,medium,low_information_scan,True,
v2_case_016_low_info_09,claimant_upload_mixed_002.pdf,2,claimant_uploads,signature_page,case_016,,image_only,medium,low_information_scan,True,
v2_case_016_low_info_10,email_duplicate_attachments_002.pdf,20,email_records,blank_page,case_016,cluster_016_blank_pages,native_text,none,clean,True,
v2_case_016_low_info_11,received_records_followups_003.pdf,18,received_records,separator_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_12,ere_batch_001.pdf,5,ere_records,signature_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_13,fax_records_002.pdf,15,fax_records,blank_page,case_016,cluster_016_blank_pages,image_only,medium,low_information_scan,True,
v2_case_016_low_info_14,claimant_upload_mixed_002.pdf,3,claimant_uploads,separator_page,case_016,,image_only,medium,low_information_scan,True,
v2_case_016_low_info_15,email_duplicate_attachments_002.pdf,21,email_records,signature_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_16,received_records_followups_003.pdf,19,received_records,blank_page,case_016,cluster_016_blank_pages,native_text,none,clean,True,
v2_case_016_low_info_17,ere_batch_001.pdf,6,ere_records,separator_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_18,fax_records_002.pdf,16,fax_records,signature_page,case_016,,image_only,medium,low_information_scan,True,
v2_case_016_low_info_19,claimant_upload_mixed_002.pdf,4,claimant_uploads,blank_page,case_016,cluster_016_blank_pages,image_only,medium,low_information_scan,True,
v2_case_016_low_info_20,email_duplicate_attachments_002.pdf,22,email_records,separator_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_21,received_records_followups_003.pdf,20,received_records,signature_page,case_016,,native_text,none,clean,True,
v2_case_016_low_info_22,ere_batch_001.pdf,7,ere_records,blank_page,case_016,cluster_016_blank_pages,native_text,none,clean,True,
v2_case_017_clean_procedure,received_records_followups_003.pdf,21,received_records,procedure_note,case_017,cluster_017_source_noise,native_text,none,clean,False,
v2_case_017_ere_stamped_procedure,ere_batch_001.pdf,8,ere_records,procedure_note,case_017,cluster_017_source_noise,native_text,none,clean,False,
v2_case_017_fax_border_procedure,fax_records_001.pdf,15,fax_records,procedure_note,case_017,cluster_017_source_noise,image_only,medium,fax_degraded,False,
v2_case_018_same_visit_page_1,received_records_002.pdf,25,received_records,visit_note,case_018,,native_text,none,clean,False,
v2_case_018_same_visit_page_2,received_records_002.pdf,26,received_records,visit_note_continuation,case_018,,native_text,none,clean,False,
v2_case_019_original_text,email_duplicate_attachments_002.pdf,23,email_records,visit_note,case_019,cluster_019_paraphrase,native_text,none,clean,False,
v2_case_019_paraphrased_text,received_records_followups_003.pdf,22,received_records,visit_note,case_019,cluster_019_paraphrase,native_text,none,clean,False,
v2_case_019_expanded_medical_terms,received_records_001.pdf,9,received_records,visit_note,case_019,cluster_019_abbreviation_variants,native_text,none,clean,False,
v2_case_019_abbreviated_medical_terms,ere_batch_002.pdf,24,ere_records,visit_note,case_019,cluster_019_abbreviation_variants,native_text,none,clean,False,
v2_case_020_native_clean,received_records_followups_003.pdf,23,received_records,visit_note,case_020,cluster_020_ocr_trap,native_text,none,clean,False,
v2_case_020_image_ocr_trap,claimant_upload_mixed_002.pdf,5,claimant_uploads,visit_note,case_020,cluster_020_ocr_trap,image_only,trap,ocr_trap_scan,False,
v2_case_015_explosion_visit_001,received_records_002.pdf,27,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_002,received_records_followups_003.pdf,24,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_003,ere_batch_001.pdf,9,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_004,ere_batch_002.pdf,25,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_005,email_attachments_001.pdf,6,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_006,email_duplicate_attachments_002.pdf,24,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_007,received_records_002.pdf,28,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_008,received_records_followups_003.pdf,25,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_009,ere_batch_001.pdf,10,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_010,ere_batch_002.pdf,26,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_011,email_attachments_001.pdf,7,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_012,email_duplicate_attachments_002.pdf,25,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_013,received_records_002.pdf,29,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_014,received_records_followups_003.pdf,26,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_015,ere_batch_001.pdf,11,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_016,ere_batch_002.pdf,27,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_017,email_attachments_001.pdf,8,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_018,email_duplicate_attachments_002.pdf,26,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_019,received_records_002.pdf,30,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_020,received_records_followups_003.pdf,27,received_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_021,ere_batch_001.pdf,12,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_022,ere_batch_002.pdf,28,ere_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_023,email_attachments_001.pdf,9,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
v2_case_015_explosion_visit_024,email_duplicate_attachments_002.pdf,27,email_records,visit_note,case_015,,native_text,none,clean,False,same_template_boilerplate_medlist
